name,ev_type,battery_capacity,acceleration,top_speed,range,efficiency,fast_charge_speed,drive,number_of_seats,price_in_germany,price_in_uk,price_in_us
Porsche Taycan Turbo,Battery Electric Vehicle ,83.7,3.2,260,400,209,840,All Wheel Drive,4,153016,115860,139032
Smart EQ fortwo coupe,Battery Electric Vehicle ,16.7,11.6,130,100,167,NA,Rear Wheel Drive,2,18460,19200,23040
Smart EQ fortwo cabrio,Battery Electric Vehicle ,16.7,11.9,130,95,176,NA,Rear Wheel Drive,2,21720,21620,25944
Smart EQ forfour,Battery Electric Vehicle ,16.7,12.7,130,95,176,NA,Rear Wheel Drive,4,19120,19795,23754
Honda e Advance,Battery Electric Vehicle ,28.5,8.3,145,170,168,190,Rear Wheel Drive,4,38000,30160,36192
Byton M-Byte 72 kWh 2WD,Battery Electric Vehicle ,72,7.5,190,325,222,420,Rear Wheel Drive,5,53500,50000,60000
Byton M-Byte 95 kWh 4WD,Battery Electric Vehicle ,95,5.5,190,390,244,460,All Wheel Drive,5,64000,60000,72000
Renault Zoe ZE40 R110,Battery Electric Vehicle ,41,11.4,135,255,161,230,Front Wheel Drive,5,29990,NA,32089.300000000003
Porsche Taycan 4S,Battery Electric Vehicle ,71,4,250,375,189,750,All Wheel Drive,4,106487,83580,100296
Porsche Taycan 4S Plus,Battery Electric Vehicle ,83.7,4,250,435,192,910,All Wheel Drive,4,113008,88193,105831.59999999999
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle ,39.2,9.9,155,250,157,210,Front Wheel Drive,5,34850,NA,37289.5
Mercedes EQV 300 Long,Battery Electric Vehicle ,90,12.1,160,320,281,280,Front Wheel Drive,7,71388,70665,84798
Mazda MX-30,Battery Electric Vehicle ,30,9.7,140,170,176,180,Front Wheel Drive,5,34490,26045,31254
Ford Mustang Mach-E SR RWD,Battery Electric Vehicle ,68,6.9,180,345,197,380,Rear Wheel Drive,5,46900,41330,49596
Ford Mustang Mach-E ER RWD,Battery Electric Vehicle ,88,7,180,440,200,430,Rear Wheel Drive,5,54475,49980,59976
Ford Mustang Mach-E SR AWD,Battery Electric Vehicle ,68,6.3,180,330,206,360,All Wheel Drive,5,54000,46650,55980
Ford Mustang Mach-E ER AWD,Battery Electric Vehicle ,88,5.8,180,420,210,410,All Wheel Drive,5,62900,57030,68436
Ford Mustang Mach-E GT,Battery Electric Vehicle ,88,4.4,200,410,215,400,All Wheel Drive,5,NA,67225,80670
Audi e-tron Sportback 50 quattro,Battery Electric Vehicle ,64.7,6.8,190,295,219,490,All Wheel Drive,5,71350,69100,82920
Tesla Cybertruck Single Motor,Battery Electric Vehicle ,100,7,180,390,256,740,Rear Wheel Drive,7,45000,39000,46800
Tesla Cybertruck Dual Motor,Battery Electric Vehicle ,120,5,190,460,261,710,All Wheel Drive,7,55000,48000,57600
Tesla Cybertruck Tri Motor,Battery Electric Vehicle ,200,3,210,750,267,710,All Wheel Drive,7,75000,68000,81600
Lexus UX 300e,Battery Electric Vehicle ,50,7.5,160,260,192,150,Front Wheel Drive,5,47550,43900,52680
BMW i4 eDrive40,Battery Electric Vehicle ,80.7,5.7,190,475,170,660,Rear Wheel Drive,5,58300,51905,62286
Audi e-tron 55 quattro,Battery Electric Vehicle ,86.5,5.7,200,365,237,590,All Wheel Drive,5,NA,71500,85800
Aiways U5,Battery Electric Vehicle ,63,7.5,150,335,188,350,Front Wheel Drive,5,35993,NA,38512.51
Renault Twingo Electric,Battery Electric Vehicle ,21.3,12.6,135,130,164,NA,Rear Wheel Drive,4,24790,NA,26525.300000000003
Audi e-tron S 55 quattro,Battery Electric Vehicle ,86.5,4.5,210,320,270,510,All Wheel Drive,5,93800,87000,104400
Audi e-tron S Sportback 55 quattro,Battery Electric Vehicle ,86.5,4.5,210,335,258,540,All Wheel Drive,5,96050,88700,106440
Volkswagen ID.4 1st,Battery Electric Vehicle ,77,8.5,160,410,188,500,Rear Wheel Drive,5,NA,40800,48960
Byton M-Byte 95 kWh 2WD,Battery Electric Vehicle ,95,7.5,190,400,238,480,Rear Wheel Drive,5,62000,57500,69000
Fiat 500e Cabrio,Battery Electric Vehicle ,37.3,9,150,245,152,410,Front Wheel Drive,4,30560,26645,31974
Opel Mokka-e,Battery Electric Vehicle ,45,8.5,150,255,176,340,Front Wheel Drive,5,34110,30540,36648
Skoda Enyaq iV 60,Battery Electric Vehicle ,58,8.7,160,330,176,420,Rear Wheel Drive,5,38850,31995,38394
Skoda Enyaq iV 80,Battery Electric Vehicle ,77,8.6,160,420,183,510,Rear Wheel Drive,5,43950,39350,47220
Skoda Enyaq iV 80X,Battery Electric Vehicle ,77,6.9,160,405,190,500,All Wheel Drive,5,47000,42000,50400
Skoda Enyaq iV RS,Battery Electric Vehicle ,77,6.2,180,395,195,480,All Wheel Drive,5,50000,45000,54000
Fiat 500e Hatchback 42 kWh,Battery Electric Vehicle ,37.3,9,150,250,149,420,Front Wheel Drive,4,27560,23995,28794
Citroen e-C4,Battery Electric Vehicle ,45,9.7,150,250,180,330,Front Wheel Drive,5,34640,30895,37074
Jaguar I-Pace EV400,Battery Electric Vehicle ,84.7,4.8,200,365,232,340,All Wheel Drive,5,77300,65195,78234
Kia e-Soul 64 kWh,Battery Electric Vehicle ,64,7.9,167,370,173,350,Front Wheel Drive,5,37790,NA,40435.3
Kia e-Soul 39 kWh,Battery Electric Vehicle ,39.2,9.9,157,230,170,220,Front Wheel Drive,5,33990,NA,36369.3
Audi Q4 Sportback e-tron 35,Battery Electric Vehicle ,51.5,9,160,295,175,410,Rear Wheel Drive,5,43900,42250,50700
Nissan Ariya 63kWh,Battery Electric Vehicle ,63,7.5,160,335,188,450,Front Wheel Drive,5,45000,40000,48000
Nissan Ariya 87kWh,Battery Electric Vehicle ,87,7.6,160,445,196,530,Front Wheel Drive,5,50000,45000,54000
Nissan Ariya e-4ORCE 63kWh,Battery Electric Vehicle ,63,5.9,200,325,194,440,All Wheel Drive,5,50000,45000,54000
Nissan Ariya e-4ORCE 87kWh,Battery Electric Vehicle ,87,5.7,200,420,207,500,All Wheel Drive,5,57500,52500,63000
Nissan Ariya e-4ORCE 87kWh Performance,Battery Electric Vehicle ,87,5.1,200,385,226,460,All Wheel Drive,5,65000,57500,69000
Volkswagen ID.3 Pro Performance,Battery Electric Vehicle ,58,7.3,160,350,166,440,Rear Wheel Drive,5,36495,29740,35688
MG MG5 EV,Battery Electric Vehicle ,48.8,7.7,185,295,165,340,Front Wheel Drive,5,NA,25095,30114
Volkswagen ID.4 Pro Performance,Battery Electric Vehicle ,77,8.5,160,410,188,500,Rear Wheel Drive,5,44450,41570,49884
